REGION,EMISSION,YEAR,VALUE
REGION1,TDCO2,2022,9999.0
REGION1,TGCO2,2022,9999.0
REGION1,TNCO2,2022,9999.0
REGION1,TZCO2,2022,9999.0
REGION1,UGCO2,2022,9999.0
REGION1,UKCO2,2022,9999.0
REGION1,ZACO2,2022,9999.0
REGION1,ZMCO2,2022,9999.0
REGION1,ZWCO2,2022,9999.0
REGION1,AOCO2,2023,9999.0
REGION1,ATCO2,2023,9999.0
REGION1,BECO2,2023,9999.0
REGION1,BFCO2,2023,9999.0
REGION1,BGCO2,2023,9999.0
REGION1,BICO2,2023,9999.0
REGION1,BJCO2,2023,9999.0
REGION1,BWCO2,2023,9999.0
REGION1,CDCO2,2023,9999.0
REGION1,CFCO2,2023,9999.0
REGION1,CGCO2,2023,9999.0
REGION1,CHCO2,2023,9999.0
REGION1,CICO2,2023,9999.0
REGION1,CMCO2,2023,9999.0
REGION1,CYCO2,2023,9999.0
REGION1,CZCO2,2023,9999.0
REGION1,DECO2,2023,9999.0
REGION1,DJCO2,2023,9999.0
REGION1,DKCO2,2023,9999.0
REGION1,DZCO2,2023,9999.0
REGION1,EECO2,2023,9999.0
REGION1,EGCO2,2023,9999.0
REGION1,ERCO2,2023,9999.0
REGION1,ESCO2,2023,9999.0
REGION1,ETCO2,2023,9999.0
REGION1,FICO2,2023,9999.0
REGION1,FRCO2,2023,9999.0
REGION1,GACO2,2023,9999.0
REGION1,GHCO2,2023,9999.0
REGION1,GMCO2,2023,9999.0
REGION1,GNCO2,2023,9999.0
REGION1,GQCO2,2023,9999.0
REGION1,GRCO2,2023,9999.0
REGION1,GWCO2,2023,9999.0
REGION1,HRCO2,2023,9999.0
REGION1,HUCO2,2023,9999.0
REGION1,IECO2,2023,9999.0
REGION1,ITCO2,2023,9999.0
REGION1,KECO2,2023,9999.0
REGION1,LRCO2,2023,9999.0
REGION1,LSCO2,2023,9999.0
REGION1,LTCO2,2023,9999.0
REGION1,LUCO2,2023,9999.0
REGION1,LVCO2,2023,9999.0
REGION1,LYCO2,2023,9999.0
REGION1,MACO2,2023,9999.0
REGION1,MLCO2,2023,9999.0
REGION1,MRCO2,2023,9999.0
REGION1,MTCO2,2023,9999.0
REGION1,MWCO2,2023,9999.0
REGION1,MZCO2,2023,9999.0
REGION1,NACO2,2023,9999.0
REGION1,NECO2,2023,9999.0
REGION1,NGCO2,2023,9999.0
REGION1,NLCO2,2023,9999.0
REGION1,NOCO2,2023,9999.0
REGION1,PLCO2,2023,9999.0
REGION1,PTCO2,2023,9999.0
REGION1,ROCO2,2023,9999.0
REGION1,RWCO2,2023,9999.0
REGION1,SDCO2,2023,9999.0
REGION1,SECO2,2023,9999.0
REGION1,SICO2,2023,9999.0
REGION1,SKCO2,2023,9999.0
REGION1,SLCO2,2023,9999.0
REGION1,SNCO2,2023,9999.0
REGION1,SOCO2,2023,9999.0
REGION1,SSCO2,2023,9999.0
REGION1,SZCO2,2023,9999.0
REGION1,TDCO2,2023,9999.0
REGION1,TGCO2,2023,9999.0
REGION1,TNCO2,2023,9999.0
REGION1,TZCO2,2023,9999.0
REGION1,UGCO2,2023,9999.0
REGION1,UKCO2,2023,9999.0
REGION1,ZACO2,2023,9999.0
REGION1,ZMCO2,2023,9999.0
REGION1,ZWCO2,2023,9999.0
REGION1,AOCO2,2024,9999.0
REGION1,ATCO2,2024,9999.0
REGION1,BECO2,2024,9999.0
REGION1,BFCO2,2024,9999.0
REGION1,BGCO2,2024,9999.0
REGION1,BICO2,2024,9999.0
REGION1,BJCO2,2024,9999.0
REGION1,BWCO2,2024,9999.0
REGION1,CDCO2,2024,9999.0
REGION1,CFCO2,2024,9999.0
REGION1,CGCO2,2024,9999.0
REGION1,CHCO2,2024,9999.0
REGION1,CICO2,2024,9999.0
REGION1,CMCO2,2024,9999.0
REGION1,CYCO2,2024,9999.0
REGION1,CZCO2,2024,9999.0
REGION1,DECO2,2024,9999.0
REGION1,DJCO2,2024,9999.0
REGION1,DKCO2,2024,9999.0
REGION1,DZCO2,2024,9999.0
REGION1,EECO2,2024,9999.0
REGION1,EGCO2,2024,9999.0
REGION1,ERCO2,2024,9999.0
REGION1,ESCO2,2024,9999.0
REGION1,ETCO2,2024,9999.0
REGION1,FICO2,2024,9999.0
REGION1,FRCO2,2024,9999.0
REGION1,GACO2,2024,9999.0
REGION1,GHCO2,2024,9999.0
REGION1,GMCO2,2024,9999.0
REGION1,GNCO2,2024,9999.0
REGION1,GQCO2,2024,9999.0
REGION1,GRCO2,2024,9999.0
REGION1,GWCO2,2024,9999.0
REGION1,HRCO2,2024,9999.0
REGION1,HUCO2,2024,9999.0
REGION1,IECO2,2024,9999.0
REGION1,ITCO2,2024,9999.0
REGION1,KECO2,2024,9999.0
REGION1,LRCO2,2024,9999.0
REGION1,LSCO2,2024,9999.0
REGION1,LTCO2,2024,9999.0
REGION1,LUCO2,2024,9999.0
REGION1,LVCO2,2024,9999.0
REGION1,LYCO2,2024,9999.0
REGION1,MACO2,2024,9999.0
REGION1,MLCO2,2024,9999.0
REGION1,MRCO2,2024,9999.0
REGION1,MTCO2,2024,9999.0
REGION1,MWCO2,2024,9999.0
REGION1,MZCO2,2024,9999.0
REGION1,NACO2,2024,9999.0
REGION1,NECO2,2024,9999.0
REGION1,NGCO2,2024,9999.0
REGION1,NLCO2,2024,9999.0
REGION1,NOCO2,2024,9999.0
REGION1,PLCO2,2024,9999.0
REGION1,PTCO2,2024,9999.0
REGION1,ROCO2,2024,9999.0
REGION1,RWCO2,2024,9999.0
REGION1,SDCO2,2024,9999.0
REGION1,SECO2,2024,9999.0
REGION1,SICO2,2024,9999.0
REGION1,SKCO2,2024,9999.0
REGION1,SLCO2,2024,9999.0
REGION1,SNCO2,2024,9999.0
REGION1,SOCO2,2024,9999.0
REGION1,SSCO2,2024,9999.0
REGION1,SZCO2,2024,9999.0
REGION1,TDCO2,2024,9999.0
REGION1,TGCO2,2024,9999.0
REGION1,TNCO2,2024,9999.0
REGION1,TZCO2,2024,9999.0
REGION1,UGCO2,2024,9999.0
REGION1,UKCO2,2024,9999.0
REGION1,ZACO2,2024,9999.0
REGION1,ZMCO2,2024,9999.0
REGION1,ZWCO2,2024,9999.0
REGION1,AOCO2,2025,9999.0
REGION1,ATCO2,2025,9999.0
REGION1,BECO2,2025,9999.0
REGION1,BFCO2,2025,9999.0
REGION1,BGCO2,2025,9999.0
REGION1,BICO2,2025,9999.0
REGION1,BJCO2,2025,9999.0
REGION1,BWCO2,2025,9999.0
REGION1,CDCO2,2025,9999.0
REGION1,CFCO2,2025,9999.0
REGION1,CGCO2,2025,9999.0
REGION1,CHCO2,2025,9999.0
REGION1,CICO2,2025,9999.0
REGION1,CMCO2,2025,9999.0
REGION1,CYCO2,2025,9999.0
REGION1,CZCO2,2025,9999.0
REGION1,DECO2,2025,9999.0
REGION1,DJCO2,2025,9999.0
REGION1,DKCO2,2025,9999.0
REGION1,DZCO2,2025,9999.0
REGION1,EECO2,2025,9999.0
REGION1,EGCO2,2025,9999.0
REGION1,ERCO2,2025,9999.0
REGION1,ESCO2,2025,9999.0
REGION1,ETCO2,2025,9999.0
REGION1,FICO2,2025,9999.0
REGION1,FRCO2,2025,9999.0
REGION1,GACO2,2025,9999.0
REGION1,GHCO2,2025,9999.0
REGION1,GMCO2,2025,9999.0
REGION1,GNCO2,2025,9999.0
REGION1,GQCO2,2025,9999.0
REGION1,GRCO2,2025,9999.0
REGION1,GWCO2,2025,9999.0
REGION1,HRCO2,2025,9999.0
REGION1,HUCO2,2025,9999.0
REGION1,IECO2,2025,9999.0
REGION1,ITCO2,2025,9999.0
REGION1,KECO2,2025,9999.0
REGION1,LRCO2,2025,9999.0
REGION1,LSCO2,2025,9999.0
REGION1,LTCO2,2025,9999.0
REGION1,LUCO2,2025,9999.0
REGION1,LVCO2,2025,9999.0
REGION1,LYCO2,2025,9999.0
REGION1,MACO2,2025,9999.0
REGION1,MLCO2,2025,9999.0
REGION1,MRCO2,2025,9999.0
REGION1,MTCO2,2025,9999.0
REGION1,MWCO2,2025,9999.0
REGION1,MZCO2,2025,9999.0
REGION1,NACO2,2025,9999.0
REGION1,NECO2,2025,9999.0
REGION1,NGCO2,2025,9999.0
REGION1,NLCO2,2025,9999.0
REGION1,NOCO2,2025,9999.0
REGION1,PLCO2,2025,9999.0
REGION1,PTCO2,2025,9999.0
REGION1,ROCO2,2025,9999.0
REGION1,RWCO2,2025,9999.0
REGION1,SDCO2,2025,9999.0
REGION1,SECO2,2025,9999.0
REGION1,SICO2,2025,9999.0
REGION1,SKCO2,2025,9999.0
REGION1,SLCO2,2025,9999.0
REGION1,SNCO2,2025,9999.0
REGION1,SOCO2,2025,9999.0
REGION1,SSCO2,2025,9999.0
REGION1,SZCO2,2025,9999.0
REGION1,TDCO2,2025,9999.0
REGION1,TGCO2,2025,9999.0
REGION1,TNCO2,2025,9999.0
REGION1,TZCO2,2025,9999.0
REGION1,UGCO2,2025,9999.0
REGION1,UKCO2,2025,9999.0
